record_id,learner,val_log_loss,val_f1,val_accuracy,val_precision,val_recall,val_auc,pred_time,config
42,lgbm,0.004700673453637526,0.9987573760361511,0.9987573647562935,0.9987588544924845,0.9987573647562935,0.999933452799577,3.5672510464134823e-06,"{'n_estimators': 189, 'num_leaves': 20, 'min_child_samples': 3, 'learning_rate': 0.1740206572672412, 'log_max_bin': 8, 'colsample_bytree': 0.6649148062238498, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.006761362450996484}"
43,catboost,0.019539452765595072,0.9937298302256293,0.9937296911265845,0.9937421048141748,0.9937296911265845,0.9997097417417851,2.2614902522899788e-07,"{'early_stopping_rounds': 10, 'learning_rate': 0.09999999999999996, 'n_estimators': 311}"
44,xgboost,0.03868823629728663,0.987687969149563,0.9876879128727013,0.9876883643815815,0.9876879128727013,0.9992106126932543,1.6846543570710727e-07,"{'n_estimators': 70, 'max_leaves': 6, 'min_child_weight': 20.619563748656166, 'learning_rate': 0.36659877136696994, 'subsample': 1.0, 'colsample_bylevel': 0.7271287520577477, 'colsample_bytree': 0.7517943298140125, 'reg_alpha': 0.018299008183187436, 'reg_lambda': 4.995999482971094}"
45,extra_tree,0.1630426119563909,0.9345532733183171,0.9347973576147116,0.940169696998341,0.9347973576147116,0.9834236867300674,2.586567025166753e-07,"{'n_estimators': 4, 'max_features': 0.15212091558824378, 'max_leaves': 23, 'criterion': 'gini'}"
46,catboost,0.04682784168856209,0.9879808392286007,0.987980717728977,0.9879827975756764,0.987980717728977,0.9991932327958362,2.681151221339521e-07,"{'early_stopping_rounds': 10, 'learning_rate': 0.005, 'n_estimators': 1368}"
47,lgbm,0.011824712712161813,0.9980360877304766,0.9980360649883949,0.9980386200523278,0.9980360649883949,0.9996196169124257,1.4541822125966623e-06,"{'n_estimators': 90, 'num_leaves': 9, 'min_child_samples': 3, 'learning_rate': 0.5363595427309009, 'log_max_bin': 9, 'colsample_bytree': 0.8119653279413637, 'reg_alpha': 0.0015564673105246884, 'reg_lambda': 0.0043972540544764465}"
48,extra_tree,0.14277868641987926,0.9414831494014033,0.9416747009462596,0.9464002891326968,0.9416747009462596,0.9904372743158423,2.6902435635098645e-07,"{'n_estimators': 11, 'max_features': 0.12912334292975164, 'max_leaves': 44, 'criterion': 'entropy'}"
49,lgbm,0.0032269379602068967,0.9991930077243705,0.9991930012497768,0.9991941380007557,0.9991930012497768,0.9999695236245565,8.076749684831497e-06,"{'n_estimators': 399, 'num_leaves': 45, 'min_child_samples': 3, 'learning_rate': 0.056460614090194566, 'log_max_bin': 7, 'colsample_bytree': 0.5178642845063358, 'reg_alpha': 0.0009765625, 'reg_lambda': 0.01039649327225154}"
50,catboost,0.021218557307466118,0.9929300200453444,0.9929298339582218,0.9929503534841243,0.9929298339582218,0.9996644929916796,1.491229250226313e-07,"{'early_stopping_rounds': 11, 'learning_rate': 0.2, 'n_estimators': 150}"
51,extra_tree,0.1623303393783328,0.9327451883923031,0.9330191037314766,0.9389187125214632,0.9330191037314766,0.9842286604621344,2.577764139582357e-07,"{'n_estimators': 4, 'max_features': 0.1521209155882438, 'max_leaves': 23, 'criterion': 'entropy'}"
